Price,Close,Close,Close,High,High,High,Low,Low,Low,Open,Open,Open,Volume,Volume,Volume
Ticker,AAPL,TSLA,XOM,AAPL,TSLA,XOM,AAPL,TSLA,XOM,AAPL,TSLA,XOM,AAPL,TSLA,XOM
Date,,,,,,,,,,,,,,,
2020-03-26,62.56483459472656,35.21066665649414,30.063982009887695,62.622932989619684,37.33333206176758,30.637073131052198,59.640429280826744,34.150001525878906,28.43764721228115,59.67916400672001,36.49266815185547,29.041713916373425,252087200,260710500,46722000
2020-03-27,59.974491119384766,34.29066848754883,28.615774154663086,61.94265120534286,35.0533332824707,29.18111925892068,59.80745089827839,32.935333251953125,28.034939779213673,61.187342755761634,33.66666793823242,28.75517464111306,204216800,215661000,51558600
2020-03-30,61.68604278564453,33.47533416748047,29.04171371459961,61.85792577669411,34.44333267211914,29.54510460069636,60.376354309647304,32.7486686706543,27.77162324083193,60.700752934026376,34.017333984375,28.058167322285396,167976400,179971500,45835000
2020-03-31,61.56016159057617,34.93333435058594,29.40571403503418,63.545269736802034,36.19733428955078,30.551893700871364,61.00578524680458,33.133331298828125,28.94104468665032,61.877297942194495,33.41666793823242,29.692258212924255,197002000,266572500,41491600
2020-04-01,58.3210563659668,32.104000091552734,29.0649471282959,60.21175123504188,34.26333236694336,29.97105016321878,57.8901427153891,31.67333221435547,28.14335777862821,59.674318939342214,33.599998474121094,28.546069910341046,176218400,200298000,36045900
2020-04-02,59.29423522949219,30.29800033569336,31.287607192993164,59.34749454652656,32.95066833496094,32.4957405838804,57.350281239576255,29.760000228881836,29.351492959621705,58.18305925799057,32.068668365478516,30.00202746020555,165934000,297876000,62000200
2020-04-03,58.44209289550781,32.000667572021484,30.36601448059082,59.48064217824671,34.36600112915039,32.66611910137766,57.85140134510496,31.22599983215332,29.831648023578325,58.77859292542469,33.96666717529297,32.100774108060605,129880000,338431500,48425700
2020-04-06,63.54043197631836,34.41600036621094,31.341821670532227,63.6953634654168,34.733333587646484,31.6206226240926,60.371521175046986,33.19733428955078,30.381507603188304,60.73948992606154,34.08000183105469,30.884898542036332,201820400,223527000,41301900
2020-04-07,62.80448913574219,36.36333465576172,31.93814468383789,65.77489475614705,37.66666793823242,33.54899034059755,62.70039373005676,35.48933410644531,31.876187604516755,65.55701102978264,36.33333206176758,33.22372453699002,202887200,268797000,48921800
2020-04-08,64.41195678710938,36.589332580566406,33.95943069458008,64.72666628175166,37.14733123779297,34.10657721602282,63.24025901440216,35.55533218383789,32.116252710698554,63.60580460540187,36.9466667175293,32.487986160076545,168895200,189840000,33355600
